"";"VisNorms ";"VisLIWC ";"VisIntens ";"VisColor ";"VisSize ";"VisMotion ";"VisFace ";"VisBody ";"GustNorms ";"GustTaste ";"AudNorms ";"AudLIWC ";"AudIntens ";"SomatNorms ";"SomatLIWC ";"SomatSurface ";"SomatProprioception ";"SomatTexture ";"SomatNociception ";"OlfacNorms ";"MotorBinder ";"MotorPractice ";"SpatialProx ";"SpatialUpDown ";"SpatialNumber ";"TemporalLIWC ";"TempDuration ";"TempAge ";"Causal ";"SocialSelf ";"SocialLIWC ";"SocialGender ";"CognitionAbstract ";"CognitionImage ";"CognitionLIWC ";"EmoSentiment ";"EmoBenefit ";"EmoPleasant ";"EmoHappy ";"EmoAngry ";"EmoDisgust ";"EmoFear ";"EmoSurprised ";"Drive ";"DriveNeeds ";"AttentionArousal ";"Cognitive_pauses ";"Long_pauses ";"Gender ";"Age ";"nteres ";"Joy ";"Astonishment ";"Sorrow ";"Anger ";"Disgust ";"Contempt ";"Fear ";"Shame ";"Guilt ";"PositiveIntegral ";"NegativeIntegral ";"AnxiousDepressive ";"Extraversion ";"Agreeableness ";"Contiousness ";"Neurotism ";"Openness "
"VisNorms";" 1.000   ";" 0.628***";"-0.315***";" 0.805***";"-0.225***";"-0.258***";" 0.409***";" 0.643***";" 0.626***";"-0.406***";"-0.290***";" 0.336***";"-0.509***";" 0.863***";" 0.718***";"-0.066   ";" 0.219***";" 0.838***";" 0.053   ";" 0.805***";" 0.442***";" 0.482***";"-0.082*  ";"-0.022   ";" 0.461***";" 0.148***";"-0.382***";"-0.561***";"-0.402***";"-0.541***";"-0.421***";" 0.345***";"-0.692***";" 0.761***";"-0.418***";"-0.009   ";"-0.210***";" 0.274***";"-0.018   ";"-0.118** ";"-0.241***";"-0.097** ";"-0.252***";" 0.137***";"-0.288***";"-0.152***";"-0.026   ";" 0.052   ";" 0.141***";"-0.005   ";" 0.039   ";" 0.061   ";"-0.042   ";" 0.026   ";"-0.003   ";" 0.040   ";"-0.029   ";" 0.045   ";"-0.002   ";" 0.057   ";" 0.037   ";" 0.012   ";" 0.048   ";" 0.029   ";" 0.041   ";"-0.010   ";"-0.011   ";" 0.025   "
"VisLIWC";" 0.628***";" 1.000   ";" 0.151***";" 0.863***";" 0.061   ";"-0.219***";" 0.420***";" 0.633***";" 0.534***";"-0.532***";"-0.106** ";" 0.720***";"-0.234***";" 0.524***";" 0.838***";"-0.159***";" 0.294***";" 0.547***";" 0.179***";" 0.376***";" 0.748***";" 0.116** ";" 0.427***";" 0.318***";" 0.654***";" 0.380***";"-0.527***";"-0.365***";"-0.080*  ";" 0.049   ";"-0.161***";" 0.100** ";"-0.308***";" 0.409***";" 0.015   ";"-0.116** ";" 0.042   ";" 0.393***";" 0.140***";"-0.394***";"-0.416***";" 0.151***";" 0.126***";"-0.112** ";"-0.200***";"-0.050   ";"-0.001   ";" 0.051   ";" 0.041   ";" 0.086*  ";" 0.115** ";" 0.102** ";"-0.165***";"-0.055   ";"-0.094*  ";"-0.036   ";"-0.107** ";"-0.062   ";"-0.052   ";"-0.055   ";" 0.068   ";"-0.076*  ";"-0.064   ";"-0.014   ";" 0.054   ";" 0.003   ";" 0.101** ";" 0.089*  "
"VisIntens";"-0.315***";" 0.151***";" 1.000   ";" 0.086*  ";" 0.172***";"-0.067   ";" 0.386***";"-0.085*  ";" 0.019   ";"-0.383***";" 0.129***";" 0.232***";" 0.011   ";"-0.504***";"-0.054   ";" 0.390***";" 0.155***";"-0.151***";" 0.027   ";"-0.259***";"-0.142***";"-0.634***";" 0.316***";" 0.497***";"-0.162***";" 0.142***";" 0.040   ";" 0.107** ";" 0.151***";" 0.766***";" 0.390***";"-0.577***";" 0.503***";"-0.460***";" 0.307***";"-0.743***";" 0.396***";" 0.600***";" 0.671***";"-0.593***";"-0.452***";" 0.272***";" 0.165***";"-0.615***";" 0.056   ";"-0.042   ";" 0.010   ";"-0.041   ";"-0.129***";" 0.057   ";" 0.005   ";" 0.068   ";"-0.070   ";"-0.103** ";"-0.084*  ";"-0.072   ";"-0.120** ";"-0.074*  ";"-0.071   ";"-0.116** ";" 0.014   ";"-0.104** ";"-0.100** ";" 0.073*  ";" 0.053   ";" 0.153***";"-0.008   ";" 0.011   "
"VisColor";" 0.805***";" 0.863***";" 0.086*  ";" 1.000   ";" 0.029   ";"-0.176***";" 0.535***";" 0.603***";" 0.539***";"-0.469***";"-0.254***";" 0.509***";"-0.341***";" 0.668***";" 0.850***";"-0.081*  ";" 0.270***";" 0.678***";"-0.060   ";" 0.573***";" 0.544***";" 0.253***";" 0.117** ";" 0.246***";" 0.555***";" 0.186***";"-0.522***";"-0.414***";"-0.338***";"-0.175***";"-0.408***";" 0.157***";"-0.429***";" 0.579***";"-0.233***";"-0.112** ";"-0.013   ";" 0.422***";" 0.223***";"-0.333***";"-0.354***";"-0.051   ";" 0.030   ";"-0.066   ";"-0.276***";"-0.111** ";"-0.010   ";" 0.038   ";" 0.095** ";" 0.027   ";" 0.096** ";" 0.100** ";"-0.113** ";"-0.035   ";"-0.061   ";" 0.001   ";"-0.080*  ";"-0.021   ";"-0.023   ";"-0.024   ";" 0.063   ";"-0.045   ";"-0.020   ";"-0.023   ";" 0.024   ";"-0.014   ";" 0.055   ";" 0.056   "
"VisSize";"-0.225***";" 0.061   ";" 0.172***";" 0.029   ";" 1.000   ";" 0.439***";"-0.276***";"-0.021   ";"-0.337***";" 0.150***";"-0.261***";"-0.081*  ";" 0.381***";"-0.235***";" 0.022   ";"-0.402***";" 0.137***";"-0.382***";"-0.238***";"-0.323***";"-0.090*  ";"-0.187***";" 0.036   ";" 0.208***";"-0.034   ";" 0.225***";"-0.298***";" 0.543***";" 0.457***";" 0.250***";"-0.154***";"-0.182***";" 0.518***";"-0.367***";" 0.559***";" 0.145***";" 0.489***";"-0.143***";" 0.090*  ";" 0.030   ";" 0.103** ";"-0.013   ";" 0.539***";"-0.216***";" 0.518***";" 0.102** ";" 0.066   ";" 0.030   ";"-0.047   ";" 0.029   ";"-0.022   ";"-0.032   ";"-0.039   ";"-0.044   ";"-0.073*  ";"-0.051   ";"-0.012   ";"-0.074*  ";"-0.020   ";"-0.075*  ";"-0.030   ";"-0.053   ";"-0.070   ";"-0.036   ";"-0.069   ";"-0.006   ";" 0.022   ";"-0.015   "
"VisMotion";"-0.258***";"-0.219***";"-0.067   ";"-0.176***";" 0.439***";" 1.000   ";"-0.141***";"-0.152***";"-0.395***";" 0.317***";"-0.135***";"-0.328***";" 0.441***";"-0.100** ";"-0.100** ";"-0.141***";" 0.047   ";"-0.436***";"-0.217***";"-0.345***";"-0.022   ";" 0.205***";"-0.065   ";"-0.189***";"-0.036   ";"-0.153***";"-0.325***";" 0.520***";" 0.236***";" 0.102** ";"-0.136***";" 0.084*  ";" 0.209***";"-0.140***";" 0.227***";" 0.374***";" 0.414***";"-0.309***";"-0.019   ";" 0.244***";" 0.276***";"-0.336***";" 0.363***";"-0.060   ";" 0.526***";" 0.044   ";" 0.099** ";" 0.047   ";" 0.019   ";" 0.015   ";" 0.038   ";" 0.063   ";" 0.041   ";"-0.023   ";"-0.010   ";"-0.046   ";" 0.007   ";"-0.024   ";"-0.018   ";"-0.048   ";" 0.053   ";"-0.022   ";"-0.030   ";"-0.024   ";"-0.076*  ";" 0.010   ";" 0.043   ";"-0.036   "
"VisFace";" 0.409***";" 0.420***";" 0.386***";" 0.535***";"-0.276***";"-0.141***";" 1.000   ";" 0.086*  ";" 0.662***";"-0.485***";" 0.014   ";" 0.288***";"-0.365***";" 0.352***";" 0.445***";" 0.481***";" 0.252***";" 0.513***";"-0.119** ";" 0.542***";" 0.198***";" 0.213***";" 0.164***";"-0.023   ";" 0.267***";"-0.127***";"-0.058   ";"-0.499***";"-0.537***";" 0.073*  ";"-0.063   ";" 0.053   ";"-0.400***";" 0.458***";"-0.439***";"-0.539***";" 0.186***";" 0.811***";" 0.339***";"-0.516***";"-0.531***";"-0.307***";"-0.258***";"-0.103** ";"-0.369***";"-0.085*  ";"-0.037   ";"-0.004   ";"-0.064   ";" 0.001   ";" 0.117** ";" 0.149***";"-0.027   ";"-0.064   ";"-0.060   ";" 0.006   ";"-0.093*  ";"-0.002   ";"-0.046   ";"-0.059   ";" 0.119** ";"-0.058   ";"-0.036   ";" 0.045   ";" 0.072*  ";" 0.097** ";"-0.002   ";" 0.038   "
"VisBody";" 0.643***";" 0.633***";"-0.085*  ";" 0.603***";"-0.021   ";"-0.152***";" 0.086*  ";" 1.000   ";" 0.332***";"-0.472***";"-0.106** ";" 0.618***";"-0.226***";" 0.512***";" 0.679***";"-0.087*  ";" 0.275***";" 0.438***";" 0.471***";" 0.343***";" 0.560***";" 0.103** ";" 0.223***";" 0.093*  ";" 0.396***";" 0.506***";"-0.475***";"-0.260***";" 0.171***";"-0.008   ";" 0.077*  ";" 0.061   ";"-0.330***";" 0.271***";" 0.140***";" 0.000   ";"-0.141***";" 0.146***";" 0.029   ";"-0.251***";"-0.080*  ";" 0.374***";"-0.061   ";"-0.202***";" 0.088*  ";"-0.311***";" 0.015   ";" 0.063   ";" 0.151***";" 0.012   ";"-0.009   ";"-0.002   ";"-0.120** ";" 0.027   ";"-0.017   ";" 0.007   ";"-0.058   ";"-0.011   ";"-0.030   ";" 0.055   ";"-0.052   ";"-0.005   ";" 0.014   ";" 0.043   ";" 0.049   ";" 0.013   ";" 0.019   ";" 0.022   "
"GustNorms";" 0.626***";" 0.534***";" 0.019   ";" 0.539***";"-0.337***";"-0.395***";" 0.662***";" 0.332***";" 1.000   ";"-0.589***";"-0.089*  ";" 0.419***";"-0.480***";" 0.617***";" 0.594***";" 0.330***";" 0.138***";" 0.699***";" 0.286***";" 0.841***";" 0.380***";" 0.337***";" 0.132***";"-0.139***";" 0.492***";" 0.157***";" 0.039   ";"-0.659***";"-0.398***";"-0.205***";"-0.087*  ";" 0.229***";"-0.643***";" 0.659***";"-0.426***";"-0.351***";"-0.136***";" 0.629***";" 0.029   ";"-0.344***";"-0.540***";"-0.094*  ";"-0.476***";" 0.114** ";"-0.428***";"-0.114** ";"-0.024   ";" 0.037   ";"-0.004   ";" 0.020   ";" 0.097** ";" 0.097** ";"-0.067   ";"-0.026   ";"-0.057   ";" 0.001   ";"-0.080*  ";" 0.014   ";"-0.028   ";"-0.014   ";" 0.067   ";"-0.042   ";"-0.009   ";" 0.034   ";" 0.065   ";" 0.034   ";" 0.015   ";" 0.060   "
"GustTaste";"-0.406***";"-0.532***";"-0.383***";"-0.469***";" 0.150***";" 0.317***";"-0.485***";"-0.472***";"-0.589***";" 1.000   ";"-0.189***";"-0.655***";" 0.353***";"-0.219***";"-0.448***";"-0.298***";"-0.322***";"-0.390***";"-0.419***";"-0.375***";"-0.386***";" 0.151***";"-0.186***";"-0.376***";"-0.273***";"-0.423***";" 0.135***";" 0.202***";" 0.027   ";"-0.278***";"-0.304***";" 0.359***";" 0.184***";"-0.162***";" 0.004   ";" 0.541***";"-0.057   ";"-0.647***";"-0.422***";" 0.585***";" 0.566***";"-0.312***";" 0.383***";" 0.245***";" 0.159***";" 0.207***";" 0.004   ";"-0.026   ";" 0.045   ";"-0.031   ";"-0.043   ";"-0.091*  ";" 0.131***";" 0.078*  ";" 0.111** ";" 0.074*  ";" 0.156***";" 0.060   ";" 0.124***";" 0.056   ";"-0.010   ";" 0.110** ";" 0.084*  ";"-0.125***";"-0.105** ";"-0.151***";"-0.009   ";"-0.043   "
"AudNorms";"-0.290***";"-0.106** ";" 0.129***";"-0.254***";"-0.261***";"-0.135***";" 0.014   ";"-0.106** ";"-0.089*  ";"-0.189***";" 1.000   ";" 0.434***";" 0.197***";"-0.243***";"-0.222***";" 0.214***";"-0.142***";"-0.140***";" 0.233***";"-0.248***";" 0.267***";"-0.106** ";" 0.164***";" 0.070   ";"-0.013   ";" 0.155***";" 0.155***";"-0.017   ";"-0.165***";" 0.254***";" 0.510***";"-0.214***";"-0.121** ";"-0.061   ";"-0.180***";"-0.065   ";"-0.124***";" 0.139***";" 0.124***";"-0.075*  ";" 0.004   ";" 0.288***";"-0.433***";"-0.075*  ";"-0.365***";" 0.266***";"-0.042   ";"-0.062   ";"-0.073*  ";" 0.001   ";"-0.010   ";"-0.001   ";"-0.036   ";"-0.053   ";"-0.015   ";"-0.067   ";"-0.053   ";"-0.049   ";"-0.074*  ";"-0.042   ";"-0.016   ";"-0.051   ";"-0.059   ";" 0.130***";" 0.084*  ";" 0.147***";"-0.025   ";" 0.116** "
"AudLIWC";" 0.336***";" 0.720***";" 0.232***";" 0.509***";"-0.081*  ";"-0.328***";" 0.288***";" 0.618***";" 0.419***";"-0.655***";" 0.434***";" 1.000   ";"-0.203***";" 0.273***";" 0.617***";" 0.092*  ";" 0.231***";" 0.334***";" 0.531***";" 0.206***";" 0.721***";"-0.145***";" 0.420***";" 0.241***";" 0.438***";" 0.534***";"-0.308***";"-0.225***";" 0.042   ";" 0.272***";" 0.311***";"-0.153***";"-0.212***";" 0.138***";" 0.087*  ";"-0.235***";"-0.081*  ";" 0.458***";" 0.274***";"-0.565***";"-0.251***";" 0.411***";"-0.182***";"-0.198***";"-0.221***";"-0.118** ";"-0.009   ";"-0.000   ";"-0.013   ";" 0.053   ";" 0.070   ";" 0.054   ";"-0.142***";"-0.043   ";"-0.077*  ";"-0.050   ";"-0.104** ";"-0.070   ";"-0.071   ";"-0.030   ";" 0.010   ";"-0.070   ";"-0.063   ";" 0.061   ";" 0.085*  ";" 0.107** ";" 0.061   ";" 0.092*  "
"AudIntens";"-0.509***";"-0.234***";" 0.011   ";"-0.341***";" 0.381***";" 0.441***";"-0.365***";"-0.226***";"-0.480***";" 0.353***";" 0.197***";"-0.203***";" 1.000   ";"-0.387***";"-0.342***";"-0.335***";" 0.065   ";"-0.558***";"-0.240***";"-0.559***";"-0.074*  ";" 0.123***";" 0.261***";"-0.014   ";" 0.012   ";"-0.063   ";"-0.214***";" 0.438***";" 0.279***";" 0.182***";" 0.029   ";"-0.009   ";" 0.234***";"-0.270***";" 0.320***";" 0.441***";" 0.233***";"-0.473***";"-0.262***";" 0.526***";" 0.333***";"-0.037   ";" 0.371***";" 0.070   ";" 0.215***";" 0.394***";" 0.031   ";" 0.067   ";" 0.035   ";"-0.045   ";"-0.014   ";"-0.085*  ";" 0.014   ";" 0.020   ";" 0.054   ";"-0.016   ";" 0.050   ";"-0.002   ";"-0.002   ";"-0.001   ";"-0.042   ";" 0.030   ";"-0.004   ";"-0.011   ";"-0.085*  ";"-0.092*  ";"-0.017   ";" 0.027   "
"SomatNorms";" 0.863***";" 0.524***";"-0.504***";" 0.668***";"-0.235***";"-0.100** ";" 0.352***";" 0.512***";" 0.617***";"-0.219***";"-0.243***";" 0.273***";"-0.387***";" 1.000   ";" 0.764***";"-0.080*  ";" 0.007   ";" 0.702***";" 0.096** ";" 0.808***";" 0.511***";" 0.708***";"-0.109** ";"-0.319***";" 0.549***";" 0.029   ";"-0.308***";"-0.512***";"-0.453***";"-0.687***";"-0.541***";" 0.558***";"-0.790***";" 0.849***";"-0.515***";" 0.277***";"-0.281***";" 0.107** ";"-0.238***";" 0.014   ";"-0.102** ";"-0.342***";"-0.241***";" 0.380***";"-0.297***";"-0.091*  ";"-0.007   ";" 0.058   ";" 0.106** ";"-0.013   ";" 0.102** ";" 0.085*  ";"-0.039   ";" 0.019   ";"-0.011   ";" 0.037   ";"-0.021   ";" 0.036   ";" 0.001   ";" 0.043   ";" 0.074*  ";" 0.009   ";" 0.038   ";"-0.033   ";" 0.007   ";"-0.062   ";" 0.031   ";" 0.014   "
"SomatLIWC";" 0.718***";" 0.838***";"-0.054   ";" 0.850***";" 0.022   ";"-0.100** ";" 0.445***";" 0.679***";" 0.594***";"-0.448***";"-0.222***";" 0.617***";"-0.342***";" 0.764***";" 1.000   ";"-0.053   ";" 0.225***";" 0.548***";" 0.201***";" 0.599***";" 0.652***";" 0.300***";" 0.210***";" 0.027   ";" 0.620***";" 0.283***";"-0.490***";"-0.359***";"-0.168***";"-0.162***";"-0.337***";" 0.284***";"-0.462***";" 0.557***";"-0.124***";" 0.030   ";"-0.075*  ";" 0.353***";" 0.069   ";"-0.392***";"-0.223***";"-0.128***";"-0.009   ";" 0.062   ";"-0.156***";"-0.246***";" 0.031   ";" 0.041   ";" 0.051   ";" 0.025   ";" 0.142***";" 0.122***";"-0.108** ";"-0.018   ";"-0.078*  ";"-0.004   ";"-0.074*  ";"-0.022   ";"-0.022   ";"-0.014   ";" 0.087*  ";"-0.044   ";"-0.017   ";"-0.048   ";" 0.027   ";"-0.021   ";" 0.092*  ";" 0.020   "
"SomatSurface";"-0.066   ";"-0.159***";" 0.390***";"-0.081*  ";"-0.402***";"-0.141***";" 0.481***";"-0.087*  ";" 0.330***";"-0.298***";" 0.214***";" 0.092*  ";"-0.335***";"-0.080*  ";"-0.053   ";" 1.000   ";"-0.207***";" 0.044   ";" 0.301***";" 0.203***";"-0.232***";"-0.144***";" 0.058   ";"-0.160***";"-0.171***";"-0.200***";" 0.422***";"-0.285***";"-0.269***";" 0.313***";" 0.455***";"-0.185***";"-0.138***";" 0.018   ";"-0.301***";"-0.567***";"-0.024   ";" 0.567***";" 0.285***";"-0.436***";"-0.252***";"-0.042   ";"-0.455***";"-0.242***";"-0.204***";"-0.225***";" 0.008   ";"-0.080*  ";"-0.093*  ";"-0.002   ";"-0.002   ";" 0.070   ";" 0.016   ";"-0.057   ";"-0.034   ";"-0.016   ";"-0.073*  ";"-0.004   ";"-0.032   ";"-0.051   ";" 0.017   ";"-0.049   ";"-0.031   ";" 0.056   ";" 0.059   ";" 0.138***";"-0.028   ";"-0.037   "
"SomatProprioception";" 0.219***";" 0.294***";" 0.155***";" 0.270***";" 0.137***";" 0.047   ";" 0.252***";" 0.275***";" 0.138***";"-0.322***";"-0.142***";" 0.231***";" 0.065   ";" 0.007   ";" 0.225***";"-0.207***";" 1.000   ";" 0.156***";"-0.192***";" 0.075*  ";" 0.133***";"-0.010   ";" 0.194***";" 0.219***";"-0.013   ";" 0.208***";"-0.553***";" 0.154***";" 0.215***";" 0.153***";"-0.008   ";"-0.142***";" 0.107** ";"-0.057   ";" 0.355***";"-0.231***";" 0.406***";" 0.224***";" 0.190***";"-0.158***";"-0.115** ";"-0.047   ";" 0.152***";"-0.057   ";" 0.294***";"-0.121***";"-0.026   ";" 0.078*  ";" 0.037   ";"-0.038   ";" 0.057   ";" 0.054   ";"-0.034   ";"-0.039   ";"-0.059   ";"-0.086*  ";"-0.060   ";"-0.061   ";"-0.080*  ";"-0.034   ";" 0.031   ";"-0.066   ";"-0.061   ";" 0.103** ";" 0.062   ";" 0.079*  ";"-0.076*  ";" 0.018   "
"SomatTexture";" 0.838***";" 0.547***";"-0.151***";" 0.678***";"-0.382***";"-0.436***";" 0.513***";" 0.438***";" 0.699***";"-0.390***";"-0.140***";" 0.334***";"-0.558***";" 0.702***";" 0.548***";" 0.044   ";" 0.156***";" 1.000   ";" 0.028   ";" 0.768***";" 0.402***";" 0.358***";"-0.066   ";" 0.040   ";" 0.417***";" 0.087*  ";"-0.213***";"-0.657***";"-0.553***";"-0.483***";"-0.361***";" 0.335***";"-0.663***";" 0.726***";"-0.553***";"-0.190***";"-0.158***";" 0.450***";" 0.153***";"-0.184***";"-0.395***";"-0.030   ";"-0.309***";" 0.086*  ";"-0.505***";"-0.003   ";"-0.068   ";" 0.039   ";" 0.107** ";" 0.018   ";" 0.046   ";" 0.073*  ";"-0.048   ";" 0.001   ";"-0.011   ";" 0.036   ";"-0.038   ";" 0.036   ";"-0.009   ";" 0.030   ";" 0.055   ";"-0.001   ";" 0.030   ";" 0.042   ";" 0.061   ";" 0.011   ";"-0.016   ";" 0.070   "
"SomatNociception";" 0.053   ";" 0.179***";" 0.027   ";"-0.060   ";"-0.238***";"-0.217***";"-0.119** ";" 0.471***";" 0.286***";"-0.419***";" 0.233***";" 0.531***";"-0.240***";" 0.096** ";" 0.201***";" 0.301***";"-0.192***";" 0.028   ";" 1.000   ";" 0.085*  ";" 0.342***";"-0.250***";" 0.241***";"-0.055   ";" 0.169***";" 0.462***";" 0.176***";"-0.091*  ";" 0.356***";" 0.239***";" 0.569***";"-0.147***";"-0.090*  ";"-0.110** ";" 0.198***";"-0.147***";"-0.296***";" 0.137***";"-0.027   ";"-0.333***";"-0.069   ";" 0.523***";"-0.349***";"-0.111** ";" 0.069   ";"-0.251***";" 0.046   ";" 0.006   ";"-0.005   ";" 0.064   ";" 0.001   ";" 0.005   ";"-0.051   ";" 0.029   ";"-0.015   ";"-0.001   ";"-0.020   ";"-0.017   ";" 0.017   ";" 0.025   ";"-0.034   ";" 0.002   ";" 0.008   ";" 0.008   ";" 0.059   ";" 0.051   ";" 0.090*  ";"-0.010   "
"OlfacNorms";" 0.805***";" 0.376***";"-0.259***";" 0.573***";"-0.323***";"-0.345***";" 0.542***";" 0.343***";" 0.841***";"-0.375***";"-0.248***";" 0.206***";"-0.559***";" 0.808***";" 0.599***";" 0.203***";" 0.075*  ";" 0.768***";" 0.085*  ";" 1.000   ";" 0.186***";" 0.491***";"-0.151***";"-0.289***";" 0.343***";" 0.062   ";"-0.007   ";"-0.656***";"-0.514***";"-0.560***";"-0.389***";" 0.364***";"-0.735***";" 0.770***";"-0.558***";"-0.141***";"-0.266***";" 0.448***";"-0.059   ";"-0.196***";"-0.299***";"-0.299***";"-0.497***";" 0.282***";"-0.413***";"-0.168***";"-0.013   ";" 0.032   ";" 0.063   ";"-0.029   ";" 0.064   ";" 0.069   ";" 0.000   ";" 0.014   ";"-0.028   ";" 0.035   ";"-0.018   ";" 0.043   ";" 0.018   ";" 0.034   ";" 0.052   ";" 0.002   ";" 0.041   ";" 0.003   ";" 0.026   ";"-0.012   ";"-0.026   ";" 0.012   "
"MotorBinder";" 0.442***";" 0.748***";"-0.142***";" 0.544***";"-0.090*  ";"-0.022   ";" 0.198***";" 0.560***";" 0.380***";"-0.386***";" 0.267***";" 0.721***";"-0.074*  ";" 0.511***";" 0.652***";"-0.232***";" 0.133***";" 0.402***";" 0.342***";" 0.186***";" 1.000   ";" 0.300***";" 0.296***";" 0.052   ";" 0.685***";" 0.371***";"-0.428***";"-0.262***";"-0.087*  ";"-0.029   ";"-0.013   ";" 0.221***";"-0.448***";" 0.456***";"-0.115** ";" 0.219***";"-0.100** ";" 0.105** ";"-0.035   ";"-0.140***";"-0.228***";" 0.209***";"-0.048   ";"-0.006   ";"-0.201***";" 0.041   ";" 0.004   ";" 0.061   ";" 0.057   ";" 0.101** ";" 0.109** ";" 0.093*  ";"-0.164***";"-0.040   ";"-0.057   ";"-0.049   ";"-0.101** ";"-0.051   ";"-0.080*  ";"-0.024   ";" 0.058   ";"-0.062   ";"-0.054   ";" 0.031   ";" 0.059   ";" 0.034   ";" 0.111** ";" 0.131***"
