"";"VisNorms ";"VisLIWC ";"VisIntens ";"VisColor ";"VisSize ";"VisMotion ";"VisFace ";"VisBody ";"GustNorms ";"GustTaste ";"AudNorms ";"AudLIWC ";"AudIntens ";"SomatNorms ";"SomatLIWC ";"SomatSurface ";"SomatProprioception ";"SomatTexture ";"SomatNociception ";"OlfacNorms ";"MotorBinder ";"MotorPractice ";"SpatialProx ";"SpatialUpDown ";"SpatialNumber ";"TemporalLIWC ";"TempDuration ";"TempAge ";"Causal ";"SocialSelf ";"SocialLIWC ";"SocialGender ";"CognitionAbstract ";"CognitionImage ";"CognitionLIWC ";"EmoSentiment ";"EmoBenefit ";"EmoPleasant ";"EmoHappy ";"EmoAngry ";"EmoDisgust ";"EmoFear ";"EmoSurprised ";"Drive ";"DriveNeeds ";"AttentionArousal ";"Cognitive_pauses ";"Long_pauses ";"Gender ";"Age ";"nteres ";"Joy ";"Astonishment ";"Sorrow ";"Anger ";"Disgust ";"Contempt ";"Fear ";"Shame ";"Guilt ";"PositiveIntegral ";"NegativeIntegral ";"AnxiousDepressive ";"Extraversion ";"Agreeableness ";"Contiousness ";"Neurotism ";"Openness "
"DriveNeeds";"-0.288***";"-0.200***";" 0.056   ";"-0.276***";" 0.518***";" 0.526***";"-0.369***";" 0.088*  ";"-0.428***";" 0.159***";"-0.365***";"-0.221***";" 0.215***";"-0.297***";"-0.156***";"-0.204***";" 0.294***";"-0.505***";" 0.069   ";"-0.413***";"-0.201***";"-0.251***";" 0.043   ";" 0.042   ";"-0.300***";" 0.236***";"-0.190***";" 0.624***";" 0.783***";" 0.288***";" 0.169***";"-0.186***";" 0.596***";"-0.564***";" 0.761***";" 0.080*  ";" 0.499***";"-0.311***";" 0.017   ";" 0.030   ";" 0.166***";" 0.021   ";" 0.412***";"-0.267***";" 1.000   ";"-0.197***";" 0.080*  ";" 0.034   ";" 0.029   ";" 0.041   ";"-0.047   ";"-0.015   ";" 0.042   ";" 0.005   ";"-0.008   ";"-0.035   ";" 0.003   ";"-0.034   ";"-0.008   ";"-0.011   ";"-0.033   ";"-0.010   ";"-0.022   ";" 0.012   ";"-0.060   ";" 0.042   ";"-0.019   ";"-0.111** "
"AttentionArousal";"-0.152***";"-0.050   ";"-0.042   ";"-0.111** ";" 0.102** ";" 0.044   ";"-0.085*  ";"-0.311***";"-0.114** ";" 0.207***";" 0.266***";"-0.118** ";" 0.394***";"-0.091*  ";"-0.246***";"-0.225***";"-0.121***";"-0.003   ";"-0.251***";"-0.168***";" 0.041   ";" 0.153***";" 0.021   ";" 0.111** ";" 0.009   ";"-0.032   ";"-0.064   ";" 0.062   ";"-0.189***";"-0.176***";"-0.108** ";" 0.014   ";"-0.034   ";" 0.064   ";"-0.162***";" 0.176***";" 0.162***";"-0.152***";"-0.156***";" 0.508***";"-0.006   ";" 0.064   ";" 0.069   ";" 0.151***";"-0.197***";" 1.000   ";"-0.032   ";" 0.004   ";"-0.022   ";" 0.041   ";" 0.062   ";" 0.016   ";" 0.006   ";"-0.011   ";" 0.030   ";"-0.045   ";" 0.040   ";" 0.013   ";" 0.013   ";"-0.013   ";" 0.062   ";" 0.002   ";" 0.003   ";"-0.032   ";" 0.012   ";"-0.043   ";" 0.044   ";" 0.046   "
"Cognitive_pauses";"-0.026   ";"-0.001   ";" 0.010   ";"-0.010   ";" 0.066   ";" 0.099** ";"-0.037   ";" 0.015   ";"-0.024   ";" 0.004   ";"-0.042   ";"-0.009   ";" 0.031   ";"-0.007   ";" 0.031   ";" 0.008   ";"-0.026   ";"-0.068   ";" 0.046   ";"-0.013   ";" 0.004   ";"-0.023   ";"-0.008   ";"-0.008   ";"-0.023   ";" 0.062   ";" 0.021   ";" 0.039   ";" 0.074*  ";" 0.052   ";" 0.013   ";"-0.034   ";" 0.036   ";"-0.029   ";" 0.056   ";" 0.036   ";" 0.027   ";"-0.006   ";" 0.001   ";"-0.022   ";" 0.027   ";" 0.017   ";" 0.017   ";"-0.028   ";" 0.080*  ";"-0.032   ";" 1.000   ";"-0.036   ";" 0.110** ";"-0.004   ";"-0.024   ";"-0.012   ";" 0.062   ";" 0.040   ";"-0.027   ";" 0.025   ";" 0.088*  ";" 0.001   ";" 0.047   ";" 0.060   ";"-0.033   ";" 0.031   ";" 0.041   ";"-0.114** ";"-0.045   ";"-0.046   ";" 0.101** ";" 0.019   "
"Long_pauses";" 0.052   ";" 0.051   ";"-0.041   ";" 0.038   ";" 0.030   ";" 0.047   ";"-0.004   ";" 0.063   ";" 0.037   ";"-0.026   ";"-0.062   ";"-0.000   ";" 0.067   ";" 0.058   ";" 0.041   ";"-0.080*  ";" 0.078*  ";" 0.039   ";" 0.006   ";" 0.032   ";" 0.061   ";" 0.085*  ";" 0.035   ";"-0.011   ";" 0.063   ";"-0.006   ";"-0.114** ";"-0.015   ";" 0.019   ";"-0.040   ";"-0.062   ";" 0.053   ";"-0.046   ";" 0.053   ";" 0.022   ";" 0.082*  ";" 0.027   ";"-0.039   ";"-0.086*  ";" 0.072*  ";"-0.006   ";"-0.012   ";" 0.065   ";" 0.034   ";" 0.034   ";" 0.004   ";"-0.036   ";" 1.000   ";" 0.070   ";"-0.042   ";" 0.088*  ";" 0.102** ";" 0.103** ";"-0.021   ";"-0.002   ";" 0.004   ";" 0.037   ";" 0.021   ";" 0.104** ";"-0.006   ";" 0.123***";" 0.001   ";" 0.050   ";"-0.113** ";"-0.013   ";"-0.112** ";"-0.026   ";"-0.143***"
"Gender";" 0.141***";" 0.041   ";"-0.129***";" 0.095** ";"-0.047   ";" 0.019   ";"-0.064   ";" 0.151***";"-0.004   ";" 0.045   ";"-0.073*  ";"-0.013   ";" 0.035   ";" 0.106** ";" 0.051   ";"-0.093*  ";" 0.037   ";" 0.107** ";"-0.005   ";" 0.063   ";" 0.057   ";" 0.107** ";"-0.033   ";"-0.039   ";" 0.064   ";" 0.060   ";"-0.084*  ";"-0.049   ";"-0.002   ";"-0.115** ";"-0.080*  ";" 0.108** ";"-0.114** ";" 0.106** ";"-0.032   ";" 0.132***";"-0.069   ";"-0.117** ";"-0.075*  ";" 0.120** ";" 0.051   ";" 0.038   ";"-0.013   ";"-0.000   ";" 0.029   ";"-0.022   ";" 0.110** ";" 0.070   ";" 1.000   ";"-0.100** ";"-0.150***";"-0.229***";" 0.175***";" 0.055   ";" 0.126***";" 0.093*  ";" 0.112** ";" 0.015   ";" 0.214***";" 0.135***";"-0.143***";" 0.109** ";" 0.166***";"-0.052   ";"-0.135***";"-0.110** ";"-0.154***";" 0.231***"
"Age";"-0.005   ";" 0.086*  ";" 0.057   ";" 0.027   ";" 0.029   ";" 0.015   ";" 0.001   ";" 0.012   ";" 0.020   ";"-0.031   ";" 0.001   ";" 0.053   ";"-0.045   ";"-0.013   ";" 0.025   ";"-0.002   ";"-0.038   ";" 0.018   ";" 0.064   ";"-0.029   ";" 0.101** ";"-0.058   ";" 0.081*  ";" 0.066   ";" 0.034   ";" 0.109** ";"-0.012   ";"-0.029   ";" 0.043   ";" 0.053   ";" 0.009   ";"-0.020   ";" 0.028   ";"-0.008   ";" 0.033   ";"-0.028   ";" 0.038   ";" 0.046   ";" 0.060   ";"-0.059   ";"-0.147***";" 0.078*  ";" 0.028   ";"-0.119** ";" 0.041   ";" 0.041   ";"-0.004   ";"-0.042   ";"-0.100** ";" 1.000   ";" 0.215***";" 0.197***";"-0.116** ";" 0.018   ";"-0.079*  ";"-0.021   ";"-0.081*  ";"-0.010   ";" 0.079*  ";"-0.019   ";" 0.131***";"-0.042   ";"-0.004   ";"-0.063   ";"-0.131***";" 0.120** ";" 0.406***";" 0.129***"
"nteres";" 0.039   ";" 0.115** ";" 0.005   ";" 0.096** ";"-0.022   ";" 0.038   ";" 0.117** ";"-0.009   ";" 0.097** ";"-0.043   ";"-0.010   ";" 0.070   ";"-0.014   ";" 0.102** ";" 0.142***";"-0.002   ";" 0.057   ";" 0.046   ";" 0.001   ";" 0.064   ";" 0.109** ";" 0.071   ";" 0.057   ";"-0.046   ";" 0.079*  ";"-0.052   ";"-0.112** ";"-0.027   ";"-0.076*  ";"-0.022   ";"-0.079*  ";" 0.067   ";"-0.057   ";" 0.086*  ";"-0.049   ";" 0.009   ";" 0.004   ";" 0.061   ";"-0.014   ";"-0.028   ";"-0.031   ";"-0.096** ";" 0.033   ";" 0.074*  ";"-0.047   ";" 0.062   ";"-0.024   ";" 0.088*  ";"-0.150***";" 0.215***";" 1.000   ";" 0.785***";" 0.110** ";"-0.118** ";"-0.124***";"-0.124***";"-0.042   ";"-0.131***";"-0.038   ";"-0.176***";" 0.861***";"-0.117** ";"-0.128***";"-0.165***";" 0.161***";" 0.066   ";" 0.355***";"-0.125***"
"Joy";" 0.061   ";" 0.102** ";" 0.068   ";" 0.100** ";"-0.032   ";" 0.063   ";" 0.149***";"-0.002   ";" 0.097** ";"-0.091*  ";"-0.001   ";" 0.054   ";"-0.085*  ";" 0.085*  ";" 0.122***";" 0.070   ";" 0.054   ";" 0.073*  ";" 0.005   ";" 0.069   ";" 0.093*  ";" 0.028   ";" 0.027   ";" 0.001   ";" 0.033   ";"-0.017   ";"-0.050   ";"-0.038   ";"-0.065   ";" 0.020   ";"-0.019   ";"-0.007   ";"-0.037   ";" 0.067   ";"-0.050   ";"-0.079*  ";" 0.050   ";" 0.118** ";" 0.086*  ";"-0.098** ";"-0.117** ";"-0.086*  ";"-0.018   ";"-0.025   ";"-0.015   ";" 0.016   ";"-0.012   ";" 0.102** ";"-0.229***";" 0.197***";" 0.785***";" 1.000   ";"-0.052   ";"-0.378***";"-0.348***";"-0.254***";"-0.263***";"-0.350***";"-0.177***";"-0.403***";" 0.825***";"-0.350***";"-0.340***";" 0.016   ";" 0.230***";" 0.174***";" 0.214***";"-0.045   "
"Astonishment";"-0.042   ";"-0.165***";"-0.070   ";"-0.113** ";"-0.039   ";" 0.041   ";"-0.027   ";"-0.120** ";"-0.067   ";" 0.131***";"-0.036   ";"-0.142***";" 0.014   ";"-0.039   ";"-0.108** ";" 0.016   ";"-0.034   ";"-0.048   ";"-0.051   ";" 0.000   ";"-0.164***";"-0.009   ";"-0.101** ";"-0.050   ";"-0.106** ";"-0.101** ";" 0.058   ";" 0.081*  ";"-0.014   ";"-0.068   ";"-0.039   ";" 0.042   ";" 0.035   ";"-0.046   ";"-0.017   ";" 0.011   ";" 0.011   ";"-0.040   ";"-0.017   ";" 0.057   ";" 0.125***";"-0.069   ";"-0.015   ";" 0.051   ";" 0.042   ";" 0.006   ";" 0.062   ";" 0.103** ";" 0.175***";"-0.116** ";" 0.110** ";"-0.052   ";" 1.000   ";" 0.667***";" 0.693***";" 0.664***";" 0.762***";" 0.677***";" 0.680***";" 0.617***";" 0.346***";" 0.757***";" 0.724***";"-0.291***";"-0.198***";"-0.087*  ";" 0.170***";"-0.223***"
"Sorrow";" 0.026   ";"-0.055   ";"-0.103** ";"-0.035   ";"-0.044   ";"-0.023   ";"-0.064   ";" 0.027   ";"-0.026   ";" 0.078*  ";"-0.053   ";"-0.043   ";" 0.020   ";" 0.019   ";"-0.018   ";"-0.057   ";"-0.039   ";" 0.001   ";" 0.029   ";" 0.014   ";"-0.040   ";" 0.005   ";"-0.046   ";"-0.033   ";" 0.006   ";"-0.010   ";"-0.002   ";" 0.016   ";" 0.018   ";"-0.076*  ";"-0.042   ";" 0.081*  ";"-0.023   ";" 0.005   ";"-0.000   ";" 0.072   ";"-0.079*  ";"-0.080*  ";"-0.069   ";" 0.065   ";" 0.139***";" 0.042   ";" 0.005   ";" 0.054   ";" 0.005   ";"-0.011   ";" 0.040   ";"-0.021   ";" 0.055   ";" 0.018   ";"-0.118** ";"-0.378***";" 0.667***";" 1.000   ";" 0.793***";" 0.828***";" 0.814***";" 0.902***";" 0.709***";" 0.893***";"-0.027   ";" 0.950***";" 0.917***";"-0.203***";"-0.260***";"-0.244***";" 0.262***";"-0.355***"
"Anger";"-0.003   ";"-0.094*  ";"-0.084*  ";"-0.061   ";"-0.073*  ";"-0.010   ";"-0.060   ";"-0.017   ";"-0.057   ";" 0.111** ";"-0.015   ";"-0.077*  ";" 0.054   ";"-0.011   ";"-0.078*  ";"-0.034   ";"-0.059   ";"-0.011   ";"-0.015   ";"-0.028   ";"-0.057   ";" 0.026   ";"-0.054   ";"-0.044   ";"-0.022   ";"-0.063   ";" 0.012   ";" 0.013   ";"-0.021   ";"-0.076*  ";"-0.038   ";" 0.083*  ";"-0.024   ";" 0.005   ";"-0.036   ";" 0.075*  ";"-0.052   ";"-0.092*  ";"-0.037   ";" 0.105** ";" 0.124***";" 0.037   ";" 0.020   ";" 0.017   ";"-0.008   ";" 0.030   ";"-0.027   ";"-0.002   ";" 0.126***";"-0.079*  ";"-0.124***";"-0.348***";" 0.693***";" 0.793***";" 1.000   ";" 0.694***";" 0.741***";" 0.799***";" 0.619***";" 0.794***";" 0.006   ";" 0.894***";" 0.813***";"-0.070   ";"-0.344***";"-0.149***";" 0.095** ";"-0.224***"
"Disgust";" 0.040   ";"-0.036   ";"-0.072   ";" 0.001   ";"-0.051   ";"-0.046   ";" 0.006   ";" 0.007   ";" 0.001   ";" 0.074*  ";"-0.067   ";"-0.050   ";"-0.016   ";" 0.037   ";"-0.004   ";"-0.016   ";"-0.086*  ";" 0.036   ";"-0.001   ";" 0.035   ";"-0.049   ";" 0.015   ";"-0.049   ";"-0.018   ";" 0.002   ";"-0.042   ";" 0.051   ";"-0.018   ";"-0.038   ";"-0.075*  ";"-0.063   ";" 0.087*  ";"-0.033   ";" 0.030   ";"-0.049   ";" 0.024   ";"-0.071   ";"-0.015   ";"-0.024   ";" 0.014   ";" 0.084*  ";" 0.014   ";"-0.004   ";" 0.021   ";"-0.035   ";"-0.045   ";" 0.025   ";" 0.004   ";" 0.093*  ";"-0.021   ";"-0.124***";"-0.254***";" 0.664***";" 0.828***";" 0.694***";" 1.000   ";" 0.759***";" 0.778***";" 0.720***";" 0.757***";" 0.036   ";" 0.900***";" 0.820***";"-0.178***";"-0.266***";"-0.122***";" 0.141***";"-0.116** "
"Contempt";"-0.029   ";"-0.107** ";"-0.120** ";"-0.080*  ";"-0.012   ";" 0.007   ";"-0.093*  ";"-0.058   ";"-0.080*  ";" 0.156***";"-0.053   ";"-0.104** ";" 0.050   ";"-0.021   ";"-0.074*  ";"-0.073*  ";"-0.060   ";"-0.038   ";"-0.020   ";"-0.018   ";"-0.101** ";"-0.005   ";"-0.066   ";"-0.058   ";"-0.064   ";"-0.061   ";" 0.027   ";" 0.052   ";" 0.006   ";"-0.093*  ";"-0.070   ";" 0.070   ";" 0.020   ";"-0.037   ";"-0.000   ";" 0.096** ";"-0.060   ";"-0.099** ";"-0.085*  ";" 0.102** ";" 0.183***";" 0.008   ";" 0.025   ";" 0.101** ";" 0.003   ";" 0.040   ";" 0.088*  ";" 0.037   ";" 0.112** ";"-0.081*  ";"-0.042   ";"-0.263***";" 0.762***";" 0.814***";" 0.741***";" 0.759***";" 1.000   ";" 0.741***";" 0.750***";" 0.741***";" 0.104** ";" 0.894***";" 0.808***";"-0.386***";"-0.293***";"-0.278***";" 0.236***";"-0.234***"
"Fear";" 0.045   ";"-0.062   ";"-0.074*  ";"-0.021   ";"-0.074*  ";"-0.024   ";"-0.002   ";"-0.011   ";" 0.014   ";" 0.060   ";"-0.049   ";"-0.070   ";"-0.002   ";" 0.036   ";"-0.022   ";"-0.004   ";"-0.061   ";" 0.036   ";"-0.017   ";" 0.043   ";"-0.051   ";" 0.040   ";"-0.048   ";"-0.028   ";" 0.009   ";"-0.054   ";" 0.017   ";"-0.032   ";"-0.053   ";"-0.086*  ";"-0.058   ";" 0.116** ";"-0.061   ";" 0.054   ";"-0.073*  ";" 0.039   ";"-0.064   ";"-0.038   ";"-0.033   ";" 0.073*  ";" 0.069   ";" 0.010   ";"-0.018   ";" 0.015   ";"-0.034   ";" 0.013   ";" 0.001   ";" 0.021   ";" 0.015   ";"-0.010   ";"-0.131***";"-0.350***";" 0.677***";" 0.902***";" 0.799***";" 0.778***";" 0.741***";" 1.000   ";" 0.668***";" 0.858***";"-0.013   ";" 0.889***";" 0.935***";"-0.203***";"-0.194***";"-0.155***";" 0.185***";"-0.353***"
"Shame";"-0.002   ";"-0.052   ";"-0.071   ";"-0.023   ";"-0.020   ";"-0.018   ";"-0.046   ";"-0.030   ";"-0.028   ";" 0.124***";"-0.074*  ";"-0.071   ";"-0.002   ";" 0.001   ";"-0.022   ";"-0.032   ";"-0.080*  ";"-0.009   ";" 0.017   ";" 0.018   ";"-0.080*  ";"-0.032   ";"-0.037   ";"-0.036   ";"-0.029   ";"-0.016   ";" 0.055   ";" 0.018   ";" 0.009   ";"-0.061   ";"-0.055   ";" 0.075*  ";" 0.014   ";"-0.019   ";"-0.004   ";" 0.038   ";"-0.061   ";"-0.044   ";"-0.044   ";" 0.043   ";" 0.117** ";" 0.020   ";" 0.008   ";" 0.061   ";"-0.008   ";" 0.013   ";" 0.047   ";" 0.104** ";" 0.214***";" 0.079*  ";"-0.038   ";"-0.177***";" 0.680***";" 0.709***";" 0.619***";" 0.720***";" 0.750***";" 0.668***";" 1.000   ";" 0.656***";" 0.108** ";" 0.763***";" 0.833***";"-0.496***";"-0.249***";"-0.288***";" 0.302***";"-0.242***"
"Guilt";" 0.057   ";"-0.055   ";"-0.116** ";"-0.024   ";"-0.075*  ";"-0.048   ";"-0.059   ";" 0.055   ";"-0.014   ";" 0.056   ";"-0.042   ";"-0.030   ";"-0.001   ";" 0.043   ";"-0.014   ";"-0.051   ";"-0.034   ";" 0.030   ";" 0.025   ";" 0.034   ";"-0.024   ";" 0.030   ";"-0.062   ";"-0.044   ";"-0.022   ";"-0.005   ";" 0.011   ";"-0.032   ";"-0.001   ";"-0.098** ";"-0.035   ";" 0.078*  ";"-0.055   ";" 0.032   ";"-0.030   ";" 0.070   ";"-0.098** ";"-0.082*  ";"-0.063   ";" 0.082*  ";" 0.119** ";" 0.061   ";"-0.023   ";" 0.036   ";"-0.011   ";"-0.013   ";" 0.060   ";"-0.006   ";" 0.135***";"-0.019   ";"-0.176***";"-0.403***";" 0.617***";" 0.893***";" 0.794***";" 0.757***";" 0.741***";" 0.858***";" 0.656***";" 1.000   ";"-0.081*  ";" 0.882***";" 0.933***";"-0.201***";"-0.263***";"-0.157***";" 0.144***";"-0.291***"
"PositiveIntegral";" 0.037   ";" 0.068   ";" 0.014   ";" 0.063   ";"-0.030   ";" 0.053   ";" 0.119** ";"-0.052   ";" 0.067   ";"-0.010   ";"-0.016   ";" 0.010   ";"-0.042   ";" 0.074*  ";" 0.087*  ";" 0.017   ";" 0.031   ";" 0.055   ";"-0.034   ";" 0.052   ";" 0.058   ";" 0.046   ";" 0.013   ";"-0.014   ";" 0.029   ";"-0.075*  ";"-0.057   ";"-0.014   ";"-0.086*  ";"-0.022   ";"-0.062   ";" 0.039   ";"-0.036   ";" 0.068   ";"-0.063   ";"-0.028   ";" 0.042   ";" 0.068   ";" 0.024   ";"-0.030   ";"-0.036   ";"-0.105** ";" 0.029   ";" 0.030   ";"-0.033   ";" 0.062   ";"-0.033   ";" 0.123***";"-0.143***";" 0.131***";" 0.861***";" 0.825***";" 0.346***";"-0.027   ";" 0.006   ";" 0.036   ";" 0.104** ";"-0.013   ";" 0.108** ";"-0.081*  ";" 1.000   ";" 0.023   ";" 0.004   ";"-0.140***";" 0.177***";" 0.008   ";" 0.296***";"-0.118** "
"NegativeIntegral";" 0.012   ";"-0.076*  ";"-0.104** ";"-0.045   ";"-0.053   ";"-0.022   ";"-0.058   ";"-0.005   ";"-0.042   ";" 0.110** ";"-0.051   ";"-0.070   ";" 0.030   ";" 0.009   ";"-0.044   ";"-0.049   ";"-0.066   ";"-0.001   ";" 0.002   ";" 0.002   ";"-0.062   ";" 0.012   ";"-0.058   ";"-0.041   ";"-0.016   ";"-0.045   ";" 0.021   ";" 0.015   ";"-0.008   ";"-0.087*  ";"-0.056   ";" 0.089*  ";"-0.020   ";" 0.004   ";"-0.023   ";" 0.074*  ";"-0.075*  ";"-0.080*  ";"-0.059   ";" 0.078*  ";" 0.144***";" 0.031   ";" 0.013   ";" 0.050   ";"-0.010   ";" 0.002   ";" 0.031   ";" 0.001   ";" 0.109** ";"-0.042   ";"-0.117** ";"-0.350***";" 0.757***";" 0.950***";" 0.894***";" 0.900***";" 0.894***";" 0.889***";" 0.763***";" 0.882***";" 0.023   ";" 1.000   ";" 0.925***";"-0.216***";"-0.319***";"-0.216***";" 0.201***";"-0.258***"
"AnxiousDepressive";" 0.048   ";"-0.064   ";"-0.100** ";"-0.020   ";"-0.070   ";"-0.030   ";"-0.036   ";" 0.014   ";"-0.009   ";" 0.084*  ";"-0.059   ";"-0.063   ";"-0.004   ";" 0.038   ";"-0.017   ";"-0.031   ";"-0.061   ";" 0.030   ";" 0.008   ";" 0.041   ";"-0.054   ";" 0.023   ";"-0.059   ";"-0.041   ";"-0.015   ";"-0.029   ";" 0.024   ";"-0.021   ";"-0.023   ";"-0.098** ";"-0.058   ";" 0.104** ";"-0.048   ";" 0.034   ";"-0.048   ";" 0.057   ";"-0.086*  ";"-0.062   ";"-0.046   ";" 0.077*  ";" 0.113** ";" 0.032   ";"-0.018   ";" 0.041   ";"-0.022   ";" 0.003   ";" 0.041   ";" 0.050   ";" 0.166***";"-0.004   ";"-0.128***";"-0.340***";" 0.724***";" 0.917***";" 0.813***";" 0.820***";" 0.808***";" 0.935***";" 0.833***";" 0.933***";" 0.004   ";" 0.925***";" 1.000   ";"-0.310***";"-0.234***";"-0.209***";" 0.199***";"-0.337***"
"Extraversion";" 0.029   ";"-0.014   ";" 0.073*  ";"-0.023   ";"-0.036   ";"-0.024   ";" 0.045   ";" 0.043   ";" 0.034   ";"-0.125***";" 0.130***";" 0.061   ";"-0.011   ";"-0.033   ";"-0.048   ";" 0.056   ";" 0.103** ";" 0.042   ";" 0.008   ";" 0.003   ";" 0.031   ";"-0.006   ";"-0.006   ";" 0.064   ";"-0.014   ";" 0.082*  ";"-0.008   ";"-0.002   ";"-0.007   ";" 0.051   ";" 0.117** ";"-0.086*  ";"-0.031   ";" 0.011   ";"-0.008   ";"-0.106** ";" 0.049   ";" 0.071   ";" 0.107** ";"-0.067   ";"-0.092*  ";" 0.040   ";"-0.096** ";"-0.113** ";" 0.012   ";"-0.032   ";"-0.114** ";"-0.113** ";"-0.052   ";"-0.063   ";"-0.165***";" 0.016   ";"-0.291***";"-0.203***";"-0.070   ";"-0.178***";"-0.386***";"-0.203***";"-0.496***";"-0.201***";"-0.140***";"-0.216***";"-0.310***";" 1.000   ";" 0.217***";" 0.564***";"-0.522***";" 0.372***"
"Agreeableness";" 0.041   ";" 0.054   ";" 0.053   ";" 0.024   ";"-0.069   ";"-0.076*  ";" 0.072*  ";" 0.049   ";" 0.065   ";"-0.105** ";" 0.084*  ";" 0.085*  ";"-0.085*  ";" 0.007   ";" 0.027   ";" 0.059   ";" 0.062   ";" 0.061   ";" 0.059   ";" 0.026   ";" 0.059   ";"-0.025   ";" 0.030   ";" 0.040   ";" 0.022   ";" 0.027   ";" 0.003   ";"-0.061   ";"-0.032   ";" 0.064   ";" 0.120** ";"-0.047   ";"-0.039   ";" 0.013   ";"-0.027   ";"-0.118** ";"-0.039   ";" 0.090*  ";" 0.047   ";"-0.059   ";"-0.055   ";" 0.053   ";"-0.079*  ";"-0.040   ";"-0.060   ";" 0.012   ";"-0.045   ";"-0.013   ";"-0.135***";"-0.131***";" 0.161***";" 0.230***";"-0.198***";"-0.260***";"-0.344***";"-0.266***";"-0.293***";"-0.194***";"-0.249***";"-0.263***";" 0.177***";"-0.319***";"-0.234***";" 0.217***";" 1.000   ";" 0.430***";"-0.087*  ";" 0.188***"
"Contiousness";"-0.010   ";" 0.003   ";" 0.153***";"-0.014   ";"-0.006   ";" 0.010   ";" 0.097** ";" 0.013   ";" 0.034   ";"-0.151***";" 0.147***";" 0.107** ";"-0.092*  ";"-0.062   ";"-0.021   ";" 0.138***";" 0.079*  ";" 0.011   ";" 0.051   ";"-0.012   ";" 0.034   ";"-0.091*  ";" 0.017   ";" 0.071   ";"-0.064   ";" 0.100** ";" 0.018   ";" 0.010   ";" 0.011   ";" 0.140***";" 0.161***";"-0.116** ";" 0.035   ";"-0.050   ";" 0.016   ";"-0.200***";" 0.072*  ";" 0.169***";" 0.205***";"-0.167***";"-0.152***";" 0.060   ";"-0.114** ";"-0.188***";" 0.042   ";"-0.043   ";"-0.046   ";"-0.112** ";"-0.110** ";" 0.120** ";" 0.066   ";" 0.174***";"-0.087*  ";"-0.244***";"-0.149***";"-0.122***";"-0.278***";"-0.155***";"-0.288***";"-0.157***";" 0.008   ";"-0.216***";"-0.209***";" 0.564***";" 0.430***";" 1.000   ";"-0.224***";" 0.434***"
"Neurotism";"-0.011   ";" 0.101** ";"-0.008   ";" 0.055   ";" 0.022   ";" 0.043   ";"-0.002   ";" 0.019   ";" 0.015   ";"-0.009   ";"-0.025   ";" 0.061   ";"-0.017   ";" 0.031   ";" 0.092*  ";"-0.028   ";"-0.076*  ";"-0.016   ";" 0.090*  ";"-0.026   ";" 0.111** ";"-0.031   ";" 0.050   ";" 0.014   ";" 0.093*  ";" 0.014   ";"-0.038   ";" 0.002   ";" 0.018   ";" 0.048   ";"-0.028   ";" 0.025   ";" 0.010   ";" 0.007   ";" 0.011   ";" 0.046   ";"-0.025   ";" 0.013   ";"-0.004   ";"-0.030   ";"-0.004   ";" 0.046   ";" 0.061   ";"-0.000   ";"-0.019   ";" 0.044   ";" 0.101** ";"-0.026   ";"-0.154***";" 0.406***";" 0.355***";" 0.214***";" 0.170***";" 0.262***";" 0.095** ";" 0.141***";" 0.236***";" 0.185***";" 0.302***";" 0.144***";" 0.296***";" 0.201***";" 0.199***";"-0.522***";"-0.087*  ";"-0.224***";" 1.000   ";"-0.224***"
"Openness";" 0.025   ";" 0.089*  ";" 0.011   ";" 0.056   ";"-0.015   ";"-0.036   ";" 0.038   ";" 0.022   ";" 0.060   ";"-0.043   ";" 0.116** ";" 0.092*  ";" 0.027   ";" 0.014   ";" 0.020   ";"-0.037   ";" 0.018   ";" 0.070   ";"-0.010   ";" 0.012   ";" 0.131***";" 0.043   ";" 0.027   ";" 0.041   ";" 0.070   ";" 0.055   ";"-0.002   ";"-0.078*  ";"-0.079*  ";" 0.012   ";" 0.002   ";" 0.004   ";"-0.082*  ";" 0.079*  ";"-0.068   ";"-0.000   ";"-0.044   ";" 0.050   ";" 0.019   ";"-0.011   ";"-0.089*  ";" 0.054   ";"-0.036   ";"-0.042   ";"-0.111** ";" 0.046   ";" 0.019   ";"-0.143***";" 0.231***";" 0.129***";"-0.125***";"-0.045   ";"-0.223***";"-0.355***";"-0.224***";"-0.116** ";"-0.234***";"-0.353***";"-0.242***";"-0.291***";"-0.118** ";"-0.258***";"-0.337***";" 0.372***";" 0.188***";" 0.434***";"-0.224***";" 1.000   "
